Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4089751469,https://www.linkedin.com/jobs/view/4089751469,Pending,2024-12-04 23:18:07.056826,2024-12-06 23:18:07.291668,Required experience is high,"
About the job
Greetings from TCS!
TCS IS HIRING FOR AWS Data Engineer

Technical Skill Set - Pyspark, Python, AWS
Desired Experience Range 4-8 years
Location of Requirement - Hyderabad/Delhi/Bangalore

Required Competencies:
Must have strong technical skill (development) of AWS tools and technologies.
Glue
Redshift
S3
Lambda function
PySpark and Python
Step-functions/Airflow
very good hands-on experience in implementation Data Lake & Data Warehouse using defined tools and technologies
Must have good knowledge on Data Lake, Delta Lake and DW design & architecture – Different data layers, Audit mechanism, DQ concept, incremental data load handling, CDC, delta lake etc.
Must have good knowledge on Star Schema, Snowflake schema etc.
Knowledge about data governance and relevant tools (e.g., collibra, lake formation etc.)
Work experience with CICD and DevOps tools

Experience required 4 > Current Experience 1. Skipping this job!
",Skipped,Not Available
4090087430,https://www.linkedin.com/jobs/view/4090087430,Pending,2024-12-03 23:19:06.534978,2024-12-06 23:19:06.723145,Required experience is high,"
About the job
Who We Are:
We are a Digital Customer Experience organization, with a comprehensive coverage of IT Services from Traditional Services to Next Gen Digital Services. At TELUS International, we focus on lean, agile, human-centered design. We have been in the technology business since 2002, with HQs in California, USA. TELUS International also invests in R&D where innovators, researchers and visionaries collaborate to explore emerging customer experience tech to disrupt the future.
We are about 70,000 employees working across 35 delivery centers across Asia, Europe, North America & Near shore in Central America & Canada.
We are focused on enabling Digital Transformation for our customers by driving Innovation & Automation through self-service options like AI Bots, Robotic Process Automation etc. for hyper personalized, secure, on demand, and elastic solutions. Our workforce is connected to drive customer experience in Media & Communications, Travel & Hospitality, eCommerce, Technology, Fintech & Financial services & Healthcare domains.

How we Help you Grow:
Our development programmers are designed to promote technical growth, enhance leadership and relationship skills across individuals. To stimulate your career growth, a vast array of in-house training programs which are listed below, but not limited to:-

Job Title: Python-AIML Engineer(Data Science)
Work Mode: Hybrid
Years of Exp: 2.5- 5 year
Shift Time: General Shift

Immediate Joiners Preferred

JOB SUMMARY
We are looking for a Senior Developer, Chatbot Python Engineer to join our team. In this role, you will be responsible for developing and maintaining our AI system. You will work closely with other engineers to design, develop, and deploy new features. You will also be responsible for enabling testing and debugging the system.
Responsibilities:
Develop and maintain our bot AI 
Work closely with other engineers to design, develop, and deploy new features
Test and debug the system
Monitor the system for performance and scalability issues
Work with other teams to integrate the chatbot with our other systems
Stay up-to-date on the latest Generative AI, LLM Models, NLP technologies
Must have :
Exposure to LLM Models and at least one of leading LLM frameworks 
Bachelor's degree in Computer Science or related field
3+ years of experience in Chatbot development
Experience with Python, Redis, gRPC, REST 
Experience with AI frameworks such as spaCy, NLTK, or Rasa
Experience with dockers, VMs and containers
Experience with cloud computing platforms such as AWS/GCP/Azure
Excellent problem-solving and analytical skills
Strong communication and teamwork skills
Ability to work independently and as part of a team
Good to have:
If you are a talented and experienced Python AI-ML developer, we encourage you to apply for this exciting opportunity.

How will this opportunity be a catalyst in your career graph?
To stimulate your career growth, a vast array of in-house training programs which are listed below, but not limited to:-
Trending technical skills
Business domain & customer interaction
Behavioral & effective communication
Transparent work culture to lift your ideas & initiatives at enterprise level & investment to execute successfully.

Equal Opportunity Employer:
At TELUS International, we are proud to be an equal opportunity employer and are committed to creating a diverse and inclusive workplace. All aspects of employment, including the decision to hire and promote, are based on applicants’ qualifications, merits, competence, and performance without regard to any characteristic related to diversity.

Experience required 5 > Current Experience 1. Skipping this job!
",Skipped,Not Available
4090939371,https://www.linkedin.com/jobs/view/4090939371,resume-9.pdf,2024-12-05 23:26:51.114761,2024-12-06 23:27:11.451913,Problem in Easy Applying,"Message: stale element reference: stale element not found in the current frame
  (Session info: chrome=131.0.6778.109); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
0   chromedriver                        0x0000000101f8be82 chromedriver + 6696578
1   chromedriver                        0x0000000101f83c9a chromedriver + 6663322
2   chromedriver                        0x000000010198be3e chromedriver + 405054
3   chromedriver                        0x00000001019920e2 chromedriver + 430306
4   chromedriver                        0x00000001019948b8 chromedriver + 440504
5   chromedriver                        0x0000000101994984 chromedriver + 440708
6   chromedriver                        0x00000001019de894 chromedriver + 743572
7   chromedriver                        0x00000001019d07cd chromedriver + 686029
8   chromedriver                        0x0000000101a01872 chromedriver + 886898
9   chromedriver                        0x00000001019d01c8 chromedriver + 684488
10  chromedriver                        0x0000000101a01a2e chromedriver + 887342
11  chromedriver                        0x0000000101a243f4 chromedriver + 1029108
12  chromedriver                        0x0000000101a01613 chromedriver + 886291
13  chromedriver                        0x00000001019ce950 chromedriver + 678224
14  chromedriver                        0x00000001019cf34e chromedriver + 680782
15  chromedriver                        0x0000000101f59770 chromedriver + 6489968
16  chromedriver                        0x0000000101f5c219 chromedriver + 6500889
17  chromedriver                        0x0000000101f5bd3b chromedriver + 6499643
18  chromedriver                        0x0000000101f5c6a5 chromedriver + 6502053
19  chromedriver                        0x0000000101f44524 chromedriver + 6403364
20  chromedriver                        0x0000000101f5c98f chromedriver + 6502799
21  chromedriver                        0x0000000101f35954 chromedriver + 6342996
22  chromedriver                        0x0000000101f74378 chromedriver + 6599544
23  chromedriver                        0x0000000101f74535 chromedriver + 6599989
24  chromedriver                        0x0000000101f83868 chromedriver + 6662248
25  libsystem_pthread.dylib             0x00007ff818878514 _pthread_start + 125
26  libsystem_pthread.dylib             0x00007ff81887402f thread_start + 15
",Easy Applied,Not Available
4073957777,https://www.linkedin.com/jobs/view/4073957777,Previous resume,2024-12-05 23:27:18.218998,2024-12-06 23:27:33.749491,Problem in Easy Applying,"Message: element not interactable
  (Session info: chrome=131.0.6778.109)
Stacktrace:
0   chromedriver                        0x0000000101f8be82 chromedriver + 6696578
1   chromedriver                        0x0000000101f83c9a chromedriver + 6663322
2   chromedriver                        0x000000010198bbbd chromedriver + 404413
3   chromedriver                        0x00000001019ddd36 chromedriver + 740662
4   chromedriver                        0x00000001019d08c3 chromedriver + 686275
5   chromedriver                        0x0000000101a01872 chromedriver + 886898
6   chromedriver                        0x00000001019d01c8 chromedriver + 684488
7   chromedriver                        0x0000000101a01a2e chromedriver + 887342
8   chromedriver                        0x0000000101a243f4 chromedriver + 1029108
9   chromedriver                        0x0000000101a01613 chromedriver + 886291
10  chromedriver                        0x00000001019ce950 chromedriver + 678224
11  chromedriver                        0x00000001019cf34e chromedriver + 680782
12  chromedriver                        0x0000000101f59770 chromedriver + 6489968
13  chromedriver                        0x0000000101f5c219 chromedriver + 6500889
14  chromedriver                        0x0000000101f5bd3b chromedriver + 6499643
15  chromedriver                        0x0000000101f5c6a5 chromedriver + 6502053
16  chromedriver                        0x0000000101f44524 chromedriver + 6403364
17  chromedriver                        0x0000000101f5c98f chromedriver + 6502799
18  chromedriver                        0x0000000101f35954 chromedriver + 6342996
19  chromedriver                        0x0000000101f74378 chromedriver + 6599544
20  chromedriver                        0x0000000101f74535 chromedriver + 6599989
21  chromedriver                        0x0000000101f83868 chromedriver + 6662248
22  libsystem_pthread.dylib             0x00007ff818878514 _pthread_start + 125
23  libsystem_pthread.dylib             0x00007ff81887402f thread_start + 15
",Easy Applied,Not Available
3950872092,https://www.linkedin.com/jobs/view/3950872092,Pending,2024-12-06 22:27:58.176348,2024-12-06 23:27:58.329088,Required experience is high,"
About the job
Who We Are
Bain & Company is a global management consulting that helps the world’s most ambitious change makers define the future. Across 65 offices in 40 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition and redefine industries. Since our founding in 1973, we have measured our success by the success of our clients, and we proudly maintain the highest level of client advocacy in the industry.
Who You’ll work with
BCN Labs is a Center of Excellence (CoE) functioning akin to a small R&D boutique startup within the Bain ecosystem, delivering end-to-end data driven client deployable solutions across a wide variety of sectors and industries. We work directly with other CoEs and Practices within Bain as part of the Expert Client Delivery system and interface with teams across the globe. We are first and foremost business thought partners working on intelligent ways of using analytical techniques and algorithms across the spectrum of disciplines that can enable building world-class solutions. Our goal is to build a disruptive high-impact business-enabled end-to-end analytical solutions delivery system across all verticals of Bain.
What You Will Do
We are seeking a strong candidate with experience in building applications around advanced analytics models, including front-end and back-end, and hosting said applications to fill an exciting Associate (AS) role within BCN Labs. The AS is expected to have a strong expertise in designing and building business-intuitive front-end interfaces and in setting up a robust back-end for our Machine Learning models and analytical solutions. The team has quite a few data scientists and the AS would have to interface with them on a day-to-day basis to enable the analytical solutions to be encapsulated within innovative, intuitive and seamless apps for end-clients and non-technical business leaders.
An AS is expected to have the ability to:
Collaborate with data scientists (who typically work with Python) to design and help build automated, deployable solutions using data orchestration tools (like AirFlow, etc.)
Develop and maintain front-end interfaces for data science applications, enhancing user experience and interaction with complex data sets.
Assist in the design and implementation of database solutions and data pipelines, supporting analytics and machine learning projects.
Lead the integration of Python-based models with databases via RESTful APIs, facilitating real-time data processing and analytics.
Employ Docker for application containerization and Git for version control, ensuring code quality and efficient team collaboration.
Successfully deploy multiple applications on AWS, optimizing cloud resources for cost-efficiency and scalability.
Contribute to the development of internal tools and platforms using technologies like Django and/or Streamlit to improve productivity and project delivery times.
Engage in continuous learning to stay ahead of emerging technologies and methodologies in data engineering and software development.
The AS is expected to have a knack for seeking out challenging problems and coming up with their own ideas which they will be encouraged to brainstorm with their peers and managers. They should be willing to learn new techniques and be open to solving problems with an interdisciplinary approach. They must have excellent coding skills and should demonstrate a willingness to be able to write modular, functional codes.
About You
A Masters or any other advanced degrees in a field linked to analytics such as Computer Science, Information Technology (IT), Operations Research, Engineering, etc.
If you are a Bachelors in any of the fields mentioned above, then we would seek a stellar academic record with proof of ability in not just implementing applications but also working through the end-to-end delivery cycle of analytical solutions including hosting
Excellent skills in HTML, CSS, JavaScript, SQL, Ajax, working with APIs – RESTful or otherwise, a coding language such as C or JAVA and an intermediate exposure to Python.
Having skills and exposure to Django and/or Streamlit would be given preference, although it is not a mandatory requirement.
(Good-to-have, but not necessary) Exposure to either AWS or Azure with some experience of deploying Python based solutions on these cloud platforms, Airflow, Snowflake, PySpark, Git, Docker, etc.
You will fit into our team-oriented structure with a college/hostel-style way of working, having the comfort of reaching out to anyone for support that can enable our clients better
At least 1 or 2 years of demonstrated abilities in data engineering and software development if you are a Masters degree holder; and, at least 3 years of a stellar career track record if you are a Bachelors degree holder
Demonstrated abilities to manage and deliver data-driven projects
 What makes us a great place to work
We are proud to be consistently recognized as one of the world's best places to work, a champion of diversity and a model of social responsibility. We are currently ranked the #1 consulting firm on Glassdoor’s Best Places to Work list, and we have maintained a spot in the top four on Glassdoor's list for the last 12 years. We believe that diversity, inclusion and collaboration is key to building extraordinary teams. We hire people with exceptional talents, abilities and potential, then create an environment where you can become the best version of yourself and thrive both professionally and personally. We are publicly recognized by external parties such as Fortune, Vault, Mogul, Working Mother, Glassdoor and the Human Rights Campaign for being a great place to work for diversity and inclusion, women, LGBTQ and parents..
  

Experience required 12 > Current Experience 3. Skipping this job!
",Skipped,Not Available
4081810986,https://www.linkedin.com/jobs/view/4081810986,Previous resume,2024-12-04 23:28:05.482294,2024-12-06 23:28:12.577145,Problem in Easy Applying,"Message: element not interactable
  (Session info: chrome=131.0.6778.109)
Stacktrace:
0   chromedriver                        0x0000000101f8be82 chromedriver + 6696578
1   chromedriver                        0x0000000101f83c9a chromedriver + 6663322
2   chromedriver                        0x000000010198bbbd chromedriver + 404413
3   chromedriver                        0x00000001019d2aa0 chromedriver + 694944
4   chromedriver                        0x0000000101a01872 chromedriver + 886898
5   chromedriver                        0x00000001019d01c8 chromedriver + 684488
6   chromedriver                        0x0000000101a01a2e chromedriver + 887342
7   chromedriver                        0x0000000101a243f4 chromedriver + 1029108
8   chromedriver                        0x0000000101a01613 chromedriver + 886291
9   chromedriver                        0x00000001019ce950 chromedriver + 678224
10  chromedriver                        0x00000001019cf34e chromedriver + 680782
11  chromedriver                        0x0000000101f59770 chromedriver + 6489968
12  chromedriver                        0x0000000101f5c219 chromedriver + 6500889
13  chromedriver                        0x0000000101f5bd3b chromedriver + 6499643
14  chromedriver                        0x0000000101f5c6a5 chromedriver + 6502053
15  chromedriver                        0x0000000101f44524 chromedriver + 6403364
16  chromedriver                        0x0000000101f5c98f chromedriver + 6502799
17  chromedriver                        0x0000000101f35954 chromedriver + 6342996
18  chromedriver                        0x0000000101f74378 chromedriver + 6599544
19  chromedriver                        0x0000000101f74535 chromedriver + 6599989
20  chromedriver                        0x0000000101f83868 chromedriver + 6662248
21  libsystem_pthread.dylib             0x00007ff818878514 _pthread_start + 125
22  libsystem_pthread.dylib             0x00007ff81887402f thread_start + 15
",Easy Applied,Not Available
4088240528,https://www.linkedin.com/jobs/view/4088240528,Pending,2024-12-03 23:45:24.288923,2024-12-06 23:45:24.427126,Found a Bad Word in About Job,"
About the job
About Birlasoft:
Birlasoft, a powerhouse where domain expertise, enterprise solutions, and digital technologies converge to redefine business processes. We take pride in our consultative and design thinking approach, driving societal progress by enabling our customers to run businesses with unmatched efficiency and innovation. As part of the CK Birla Group, a multibillion-dollar enterprise, we boast a 12,500+ professional team committed to upholding the Group's 162-year legacy. Our core values prioritize Diversity, Equity, and Inclusion (DEI) initiatives, along with Corporate Sustainable Responsibility (CSR) activities, demonstrating our dedication to building inclusive and sustainable communities. Join us in shaping a future where technology seamlessly aligns with purpose.
Title: APRISO Developer
Location: Pune/Mumbai/Bangalore/Noida
Educational Background : Bachelors/Professional Degree
Skills Required:
Having total 3-5 year of experience in MES and manufacturing domain
Must have APRISO experience 3 years – worked on APRISO 2016 and above releases and part of implementation, support, or upgrade projects
Should have experience in Apriso Production, Quality and Maintenance module
Experience with ASP.NET, PL/SQL, or SQL Server programming.
Knowledge of MES design, development, testing, support, and implementation processes.
Understanding of manufacturing IT systems (ERP/MES) and plant automation.
Hands on experience working on Process Builder, Machine Integration and Business Integration
Good in taking MES Requirements, prepare technical design document and UAT testing with customer
Well versed with deployment and released management processes
Excellent communications and interpersonal skills
Will be deployed to client location at New Delhi
Ability to analyze data and generate reports to monitor and improve manufacturing processes
Familiarity with cloud services and data security, as Visual Factory can be hosted on the cloud

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4090475174,https://www.linkedin.com/jobs/view/4090475174,Pending,2024-12-05 23:52:51.082059,2024-12-06 23:52:51.197006,Required experience is high,"
About the job
Skills:
Machine Learning, Deep Learning, Natural Language Processing, Computer Vision, Neural Networks, Data Mining, Algorithm Development, Statistical Analysis,

Company Overview

https://cyber-tick.com/digital-forensics-services/

Job Overview

(Kindly review Job description for cyber-tick

We are seeking a Junior Artificial Intelligence Machine Learning Engineer to join our team in Noida or Navi Mumbai. The ideal candidate will have 1 to 3 years of relevant experience. This is a full-time position designed for individuals who are passionate about machine learning and data mining, with the ability to develop and implement algorithms to solve complex problems.

Qualifications And Skills

Proven experience in machine learning applications (minimum 1 years to maximum 3 years).
Hands-on experience in data mining (Mandatory skill).
Proficiency in algorithm development (Mandatory skill).
Knowledge in deep learning techniques and frameworks.
Experience with natural language processing (NLP) methodologies.
Understanding of computer vision applications and tools.
Familiarity with neural network architectures and their implementations.
Strong background in statistical analysis and data analytics.

Roles And Responsibilities

Design and develop machine learning models and algorithms to address business use cases.
Collaborate with cross-functional teams to integrate AI/ML solutions into the company's products.
Analyze large datasets to identify patterns and insights that inform business strategies.
Continuously research and stay updated on the latest advancements in AI and machine learning.
Implement data preprocessing and data augmentation techniques to enhance model performance.
Evaluate and fine-tune models to ensure their accuracy and efficiency in various applications.
Provide technical support and guidance on AI/ML best practices to other team members.
Document experiments, methodologies, and results to maintain comprehensive records of all projects.

Desired Skills and Experience
Machine Learning, Deep Learning, Natural Language Processing, Computer Vision, Neural Networks, Data Mining, Algorithm Development, Statistical Analysis

Experience required 3 > Current Experience 1. Skipping this job!
",Skipped,Not Available
4089477780,https://www.linkedin.com/jobs/view/4089477780,resume-9.pdf,2024-12-04 23:52:56.903510,2024-12-06 23:53:25.852421,Problem in Easy Applying,"Message: stale element reference: stale element not found in the current frame
  (Session info: chrome=131.0.6778.109); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
0   chromedriver                        0x000000010be1ae82 chromedriver + 6696578
1   chromedriver                        0x000000010be12c9a chromedriver + 6663322
2   chromedriver                        0x000000010b81ae3e chromedriver + 405054
3   chromedriver                        0x000000010b8210e2 chromedriver + 430306
4   chromedriver                        0x000000010b8238b8 chromedriver + 440504
5   chromedriver                        0x000000010b823984 chromedriver + 440708
6   chromedriver                        0x000000010b86dbad chromedriver + 744365
7   chromedriver                        0x000000010b86cee4 chromedriver + 741092
8   chromedriver                        0x000000010b85f8c3 chromedriver + 686275
9   chromedriver                        0x000000010b890872 chromedriver + 886898
10  chromedriver                        0x000000010b85f1c8 chromedriver + 684488
11  chromedriver                        0x000000010b890a2e chromedriver + 887342
12  chromedriver                        0x000000010b8b33f4 chromedriver + 1029108
13  chromedriver                        0x000000010b890613 chromedriver + 886291
14  chromedriver                        0x000000010b85d950 chromedriver + 678224
15  chromedriver                        0x000000010b85e34e chromedriver + 680782
16  chromedriver                        0x000000010bde8770 chromedriver + 6489968
17  chromedriver                        0x000000010bdeb219 chromedriver + 6500889
18  chromedriver                        0x000000010bdead3b chromedriver + 6499643
19  chromedriver                        0x000000010bdeb6a5 chromedriver + 6502053
20  chromedriver                        0x000000010bdd3524 chromedriver + 6403364
21  chromedriver                        0x000000010bdeb98f chromedriver + 6502799
22  chromedriver                        0x000000010bdc4954 chromedriver + 6342996
23  chromedriver                        0x000000010be03378 chromedriver + 6599544
24  chromedriver                        0x000000010be03535 chromedriver + 6599989
25  chromedriver                        0x000000010be12868 chromedriver + 6662248
26  libsystem_pthread.dylib             0x00007ff818878514 _pthread_start + 125
27  libsystem_pthread.dylib             0x00007ff81887402f thread_start + 15
",Easy Applied,Not Available
4090939371,https://www.linkedin.com/jobs/view/4090939371,resume-9.pdf,2024-12-05 23:54:03.271906,2024-12-06 23:54:08.244808,Problem in Easy Applying,"Message: element not interactable
  (Session info: chrome=131.0.6778.109)
Stacktrace:
0   chromedriver                        0x000000010be1ae82 chromedriver + 6696578
1   chromedriver                        0x000000010be12c9a chromedriver + 6663322
2   chromedriver                        0x000000010b81abbd chromedriver + 404413
3   chromedriver                        0x000000010b86cd36 chromedriver + 740662
4   chromedriver                        0x000000010b85f8c3 chromedriver + 686275
5   chromedriver                        0x000000010b890872 chromedriver + 886898
6   chromedriver                        0x000000010b85f1c8 chromedriver + 684488
7   chromedriver                        0x000000010b890a2e chromedriver + 887342
8   chromedriver                        0x000000010b8b33f4 chromedriver + 1029108
9   chromedriver                        0x000000010b890613 chromedriver + 886291
10  chromedriver                        0x000000010b85d950 chromedriver + 678224
11  chromedriver                        0x000000010b85e34e chromedriver + 680782
12  chromedriver                        0x000000010bde8770 chromedriver + 6489968
13  chromedriver                        0x000000010bdeb219 chromedriver + 6500889
14  chromedriver                        0x000000010bdead3b chromedriver + 6499643
15  chromedriver                        0x000000010bdeb6a5 chromedriver + 6502053
16  chromedriver                        0x000000010bdd3524 chromedriver + 6403364
17  chromedriver                        0x000000010bdeb98f chromedriver + 6502799
18  chromedriver                        0x000000010bdc4954 chromedriver + 6342996
19  chromedriver                        0x000000010be03378 chromedriver + 6599544
20  chromedriver                        0x000000010be03535 chromedriver + 6599989
21  chromedriver                        0x000000010be12868 chromedriver + 6662248
22  libsystem_pthread.dylib             0x00007ff818878514 _pthread_start + 125
23  libsystem_pthread.dylib             0x00007ff81887402f thread_start + 15
",Easy Applied,Not Available
